SteamId,Username,Time
76561198847576929,Lightning,28.20181
76561198106476018,ttv/jandjetv,37.98067
76561198050792757,justMaki,38.2101
76561198896246339,RoundNzt,39.21915
76561198047403251,St Nicholas,39.26307
76561198043268277,Frog Mime,39.43815
76561198008859132,Lazy_Echidna,39.44956
76561198932043314,Metalted,39.49434
76561198957921184,Predator_3xplode,39.54809
76561198012873957,Frixion,39.78992
76561199292634733,zodiak,39.83737
76561199115313906,Pigbuy,39.98207
76561199230094250,[FTR]Fwogiie.Kawaii,40.02819
76561198078203272,Psycho No. 7,40.08582
76561198259463003,TTV/R0nanC,40.08936
76561199126724675,ZOMAN,40.10461
76561198396510502,SliceTheDuck,40.31969
76561198160604987,Tritonas1237,40.32403
76561199247569114,MaxVerstappen9768,40.43353
76561198081686672,Not That Guy,40.49887
76561197996376845,Arder,40.52746
76561198031919228,Akane,40.59761
76561198333205852,Jappiedoedelzak,40.757
76561197969805328,DBNULL,40.8947
76561198109881901,Kabs666,40.90789
76561198040976717,ttv/Lilly the Bun,40.93381
76561198838593572,invisiblecat8,40.94482
76561198099754101,florisdewael,41.75851
76561199013714548,Chapin,41.96075
76561199454636551,simonslivinski,41.99512
76561199014162289,Longstruck,42.01283
76561198091890563,Neptunix,42.12924
76561198331571202,Y,42.16037
76561197979087520,Mokster,42.63417
76561199125432357,muffins0319,43.20638
76561199435484396,TTV/Jaguar_Jack1,44.49915
76561198045413240,Eatin'Beaver,45.42159
76561197989028539,Diabler,46.89047
