SteamId,Username,Time
76561198050792757,justMaki,60.95497
76561198106476018,ttv/jandjetv,61.37473
76561199126724675,ZOMAN,62.03252
76561199230094250,[FTR]Fwogiie.Kawaii,62.14546
76561198008859132,Lazy_Echidna,63.06789
76561198896246339,RoundNzt,63.52643
76561198259463003,TTV/R0nanC,63.90506
76561198067925412,AndMe14,64.21561
76561199115313906,Pigbuy,64.25983
76561198078203272,Psycho No. 7,64.68343
76561199292634733,zodiak,64.72675
76561198957921184,Predator_3xplode,64.92383
76561198932043314,Metalted,65.07638
76561197989028539,Diabler,65.24385
76561198109881901,Kabs666,65.29748
76561198043268277,Frog Mime,65.56083
76561199043210759,Nicolas_Gamer5476,65.57533
76561198031919228,Akane,65.66164
76561198047403251,St Nicholas,65.74479
76561198012873957,Frixion,65.84595
76561198838593572,invisiblecat8,65.88111
76561198333205852,Jappiedoedelzak,66.41725
76561198847576929,Lightning,66.53896
76561197969805328,DBNULL,66.56544
76561198040976717,ttv/Lilly the Bun,66.71716
76561198025001349,gtub,68.23904
76561199013714548,Chapin,68.66573
76561198846673916,Matic_D,69.04669
76561197996376845,Arder,69.37903
76561198099754101,florisdewael,70.23991
76561199247569114,MaxVerstappen9768,71.70428
76561199217171498,finnvdlee10,72.82782
76561198160604987,Tritonas1237,74.02589
76561198091890563,Neptunix,76.67622
76561199435484396,TTV/Jaguar_Jack1,79.79614
76561198882016799,IcendoX,80.01685
76561199454636551,simonslivinski,80.82755
76561198069046194,Contrick,81.93739
76561199083253371,joelvds,88.07761
76561199125432357,muffins0319,89.00599
76561198331571202,Y,98.44005
76561197960843461,Z!rP,114.3719
76561199292357309,Hisus,142.2671
