SteamId,Username,Points,Ultimate Billy,Ultimate BillyPoints,justMaki,justMakiPoints,Llama_Lordie,Llama_LordiePoints,Khord,KhordPoints,Certified Bruh Moment™,Certified Bruh Moment™Points,ttv_jandjetv,ttv_jandjetvPoints,St Nicholas,St NicholasPoints,Bluekittyracer,BluekittyracerPoints,BlueDreamer,BlueDreamerPoints,Joshuee1912,Joshuee1912Points
76561199016181953,Ebruis,"=IFERROR(E13 + G13 + I13 + K13 + M13 + O13 + Q13 + S13 + U13 + W13 + Y13, 0)",63.50779,0,54.78836,0,46.75449,0,32.68184,0,32.64046,0,,,,,,,,,,
76561198932043314,Metalted,"=IFERROR(E14 + G14 + I14 + K14 + M14 + O14 + Q14 + S14 + U14 + W14 + Y14, 0)",63.55643,0,54.98154,0,47.22308,0,32.64982,0,32.0571,0,57.42843,0,47.67337,0,48.73264,0,57.9502,0,44.96387,0
76561197979087520,Mokster,"=IFERROR(E15 + G15 + I15 + K15 + M15 + O15 + Q15 + S15 + U15 + W15 + Y15, 0)",63.65137,0,57.38794,0,47.4247,0,33.58014,0,32.56074,0,59.51395,0,49.31684,0,49.85983,0,64.10326,0,42.33867,0
76561198031919228,Akane,"=IFERROR(E16 + G16 + I16 + K16 + M16 + O16 + Q16 + S16 + U16 + W16 + Y16, 0)",64.32018,0,60.39417,0,47.42942,0,32.85095,0,32.29296,0,58.48389,0,,,49.71491,0,62.11784,0,48.88288,0
76561197989028539,Diabler,"=IFERROR(E17 + G17 + I17 + K17 + M17 + O17 + Q17 + S17 + U17 + W17 + Y17, 0)",64.73326,0,55.02025,0,46.64523,0,34.6773,0,33.16788,0,61.47671,0,47.46475,0,50.16617,0,67.23996,0,43.67701,0
76561198838593572,invisiblecat8,"=IFERROR(E18 + G18 + I18 + K18 + M18 + O18 + Q18 + S18 + U18 + W18 + Y18, 0)",65.03491,0,56.34481,0,46.78682,0,34.86329,0,32.60914,0,59.4688,0,47.82787,0,52.59844,0,59.64574,0,44.35276,0
76561198023561976,Thundernerd,"=IFERROR(E19 + G19 + I19 + K19 + M19 + O19 + Q19 + S19 + U19 + W19 + Y19, 0)",66.05386,0,,,,,,,33.4143,0,,,,,,,,,,
76561198056901817,(..)Mercy,"=IFERROR(E20 + G20 + I20 + K20 + M20 + O20 + Q20 + S20 + U20 + W20 + Y20, 0)",66.11878,0,58.62806,0,48.41933,0,,,,,,,,,,,,,,
76561198109881901,Kabs666,"=IFERROR(E21 + G21 + I21 + K21 + M21 + O21 + Q21 + S21 + U21 + W21 + Y21, 0)",66.34264,0,57.28993,0,47.76952,0,38.84152,0,32.3268,0,61.24464,0,51.54368,0,51.22042,0,67.01086,0,43.78667,0
76561198304929551,Certified Bruh Moment™,"=IFERROR(E22 + G22 + I22 + K22 + M22 + O22 + Q22 + S22 + U22 + W22 + Y22, 0)",66.39518,0,57.66959,0,47.22554,0,34.42459,0,32.55633,0,60.08655,0,,,53.66308,0,65.75223,0,44.42258,0
76561198123116932,nate69cam,"=IFERROR(E23 + G23 + I23 + K23 + M23 + O23 + Q23 + S23 + U23 + W23 + Y23, 0)",66.85781,0,56.49401,0,47.26931,0,33.19942,0,31.814,0,56.30615,0,48.09695,0,51.49972,0,56.73944,0,44.40935,0
76561198029508562,Cold Deck? ...,"=IFERROR(E24 + G24 + I24 + K24 + M24 + O24 + Q24 + S24 + U24 + W24 + Y24, 0)",67.59644,0,58.52588,0,47.85038,0,37.68998,0,32.93837,0,65.65668,0,,,51.94109,0,62.33895,0,47.04041,0
76561197996376845,Arder,"=IFERROR(E25 + G25 + I25 + K25 + M25 + O25 + Q25 + S25 + U25 + W25 + Y25, 0)",67.90528,0,57.16276,0,49.01274,0,37.11639,0,32.82253,0,58.28736,0,50.13269,0,53.12414,0,61.87518,0,46.33155,0
76561198075107412,DocShip,"=IFERROR(E26 + G26 + I26 + K26 + M26 + O26 + Q26 + S26 + U26 + W26 + Y26, 0)",68.09338,0,,,,,,,,,,,,,,,,,46.54725,0
76561198011349021,mumboking,"=IFERROR(E27 + G27 + I27 + K27 + M27 + O27 + Q27 + S27 + U27 + W27 + Y27, 0)",68.1636,0,,,47.24826,0,40.56563,0,33.08956,0,,,,,53.61506,0,71.2537,0,45.41194,0
76561198004372346,Den,"=IFERROR(E28 + G28 + I28 + K28 + M28 + O28 + Q28 + S28 + U28 + W28 + Y28, 0)",68.2067,0,,,,,,,,,,,,,,,,,,
76561198040976717,ttv/Lilly the Bun,"=IFERROR(E29 + G29 + I29 + K29 + M29 + O29 + Q29 + S29 + U29 + W29 + Y29, 0)",68.87487,0,57.44743,0,47.07087,0,36.96748,0,33.179,0,63.68071,0,,,50.65863,0,60.71777,0,45.02249,0
76561198086671586,Wesley,"=IFERROR(E30 + G30 + I30 + K30 + M30 + O30 + Q30 + S30 + U30 + W30 + Y30, 0)",69.18559,0,55.77117,0,47.97367,0,34.62158,0,32.70139,0,58.25092,0,,,,,,,,
76561198019079245,MOW BIG T,"=IFERROR(E31 + G31 + I31 + K31 + M31 + O31 + Q31 + S31 + U31 + W31 + Y31, 0)",69.35814,0,,,49.57927,0,,,,,,,,,,,,,,
76561198161379363,[CTR] Cbad Cruiser,"=IFERROR(E32 + G32 + I32 + K32 + M32 + O32 + Q32 + S32 + U32 + W32 + Y32, 0)",60.83963,0,52.14032,0,45.91862,0,31.44319,0,31.55339,0,55.27227,0,46.10723,0,48.13845,0,56.87749,0,42.30926,0
76561198081356099,[CTR] Sandals,"=IFERROR(E33 + G33 + I33 + K33 + M33 + O33 + Q33 + S33 + U33 + W33 + Y33, 0)",61.56835,0,51.88376,0,46.21996,0,30.56305,0,31.00541,0,54.99969,0,46.58838,0,47.30043,0,55.73134,0,41.55043,0
