SteamId,Username,Points,ThySirSlime,ThySirSlimePoints,justMaki,justMakiPoints,Diabler,DiablerPoints,PDGamer2502,PDGamer2502Points,[CTR]LexLimbo,[CTR]LexLimboPoints,Spuzzle,SpuzzlePoints,Akane,AkanePoints,Codewalt,CodewaltPoints,ocaj75,ocaj75Points,RuthlessTex,RuthlessTexPoints,Khord,KhordPoints,St Nicholas,St NicholasPoints,Llama_Lordie,Llama_LordiePoints,fabiendivie,fabiendiviePoints,deathcount610,deathcount610Points
76561198008859132,Lazy_Echidna,"=IFERROR(E13 + G13 + I13 + K13 + M13 + O13 + Q13 + S13 + U13 + W13 + Y13 + AA13 + AC13 + AE13 + AG13, 0)",47.48966,0,69.36311,0,65.6153,0,42.75452,0,78.17388,0,52.10791,0,80.34084,0,,,92.76675,0,82.90549,0,51.32909,0,56.06071,0,72.16537,0,66.45248,0,53.82201,0
76561198100712511,TTV/BlackHawkXNL,"=IFERROR(E14 + G14 + I14 + K14 + M14 + O14 + Q14 + S14 + U14 + W14 + Y14 + AA14 + AC14 + AE14 + AG14, 0)",47.50167,0,68.82017,0,,,40.16625,0,78.29577,0,54.64545,0,83.67998,0,76.96661,0,94.77589,0,,,50.1132,0,55.78738,0,66.84155,0,66.30112,0,56.54767,0
76561198259463003,TTV/R0nanC,"=IFERROR(E15 + G15 + I15 + K15 + M15 + O15 + Q15 + S15 + U15 + W15 + Y15 + AA15 + AC15 + AE15 + AG15, 0)",47.54687,0,69.92637,0,66.49101,0,,,77.45554,0,53.23063,0,82.07063,0,75.86292,0,94.21741,0,93.42065,0,50.54786,0,56.19276,0,67.88792,0,64.17471,0,54.75111,0
76561199126724675,ZOMAN,"=IFERROR(E16 + G16 + I16 + K16 + M16 + O16 + Q16 + S16 + U16 + W16 + Y16 + AA16 + AC16 + AE16 + AG16, 0)",47.68044,0,67.81963,0,65.76046,0,39.68181,0,75.98972,0,51.23766,0,81.105,0,73.31997,0,93.11449,0,82.45478,0,49.0593,0,55.64413,0,67.41835,0,,,56.10806,0
76561198225327104,AlexdaCat,"=IFERROR(E17 + G17 + I17 + K17 + M17 + O17 + Q17 + S17 + U17 + W17 + Y17 + AA17 + AC17 + AE17 + AG17, 0)",47.80892,0,70.93664,0,,,46.4954,0,79.89528,0,61.33579,0,87.59144,0,82.98409,0,95.44644,0,,,,,,,,,78.51002,0,57.8797,0
76561198302828629,TheEndOfNether,"=IFERROR(E18 + G18 + I18 + K18 + M18 + O18 + Q18 + S18 + U18 + W18 + Y18 + AA18 + AC18 + AE18 + AG18, 0)",47.81254,0,68.88656,0,,,39.25394,0,,,,,,,,,,,,,,,,,,,,,,
76561199053404858,[OR] Roader,"=IFERROR(E19 + G19 + I19 + K19 + M19 + O19 + Q19 + S19 + U19 + W19 + Y19 + AA19 + AC19 + AE19 + AG19, 0)",47.86586,0,69.19625,0,,,,,78.30821,0,53.59953,0,87.73545,0,80.56999,0,,,84.05556,0,50.28419,0,,,,,72.80275,0,,
76561198062354991,RuthlessTex,"=IFERROR(E20 + G20 + I20 + K20 + M20 + O20 + Q20 + S20 + U20 + W20 + Y20 + AA20 + AC20 + AE20 + AG20, 0)",47.86897,0,71.50034,0,,,,,81.58789,0,,,83.64972,0,79.38561,0,96.58409,0,83.02419,0,52.34424,0,63.68626,0,73.69396,0,,,58.743,0
76561198207957111,Lord Mendigo,"=IFERROR(E21 + G21 + I21 + K21 + M21 + O21 + Q21 + S21 + U21 + W21 + Y21 + AA21 + AC21 + AE21 + AG21, 0)",47.89474,0,70.23,0,71.84152,0,43.63943,0,79.78228,0,53.4925,0,89.55576,0,81.65704,0,97.19011,0,,,54.46574,0,,,75.41547,0,75.80458,0,,
76561198068885599,Spuzzle,"=IFERROR(E22 + G22 + I22 + K22 + M22 + O22 + Q22 + S22 + U22 + W22 + Y22 + AA22 + AC22 + AE22 + AG22, 0)",48.06177,0,70.20786,0,67.0417,0,43.92243,0,82.10989,0,52.10479,0,,,,,,,,,,,,,,,,,,
76561198115077065,Khord,"=IFERROR(E23 + G23 + I23 + K23 + M23 + O23 + Q23 + S23 + U23 + W23 + Y23 + AA23 + AC23 + AE23 + AG23, 0)",48.07418,0,69.86372,0,,,,,,,55.17976,0,,,,,,,,,49.28147,0,,,,,,,,
76561198001257036,dejman,"=IFERROR(E24 + G24 + I24 + K24 + M24 + O24 + Q24 + S24 + U24 + W24 + Y24 + AA24 + AC24 + AE24 + AG24, 0)",48.12059,0,73.83605,0,72.20107,0,40.69347,0,83.09402,0,53.49715,0,82.79511,0,80.32887,0,95.997,0,97.11693,0,52.7231,0,,,76.76276,0,73.52391,0,71.31525,0
76561198411255577,Toad,"=IFERROR(E25 + G25 + I25 + K25 + M25 + O25 + Q25 + S25 + U25 + W25 + Y25 + AA25 + AC25 + AE25 + AG25, 0)",48.13481,0,68.85042,0,,,,,,,,,,,,,,,,,,,,,,,,,,
76561198047403251,St Nicholas,"=IFERROR(E26 + G26 + I26 + K26 + M26 + O26 + Q26 + S26 + U26 + W26 + Y26 + AA26 + AC26 + AE26 + AG26, 0)",48.3277,0,69.11787,0,66.617,0,40.06093,0,77.59211,0,52.44239,0,83.39906,0,74.34956,0,95.82459,0,87.46543,0,51.86665,0,54.79791,0,69.41068,0,63.04832,0,54.0254,0
76561198373517455,Miss Hulky,"=IFERROR(E27 + G27 + I27 + K27 + M27 + O27 + Q27 + S27 + U27 + W27 + Y27 + AA27 + AC27 + AE27 + AG27, 0)",48.41771,0,73.17889,0,,,41.72735,0,83.7868,0,57.13301,0,86.51864,0,90.63175,0,97.42227,0,,,51.44273,0,63.67267,0,73.64133,0,72.77838,0,65.90556,0
76561198043268277,Frog Mime,"=IFERROR(E28 + G28 + I28 + K28 + M28 + O28 + Q28 + S28 + U28 + W28 + Y28 + AA28 + AC28 + AE28 + AG28, 0)",48.51622,0,,,70.48319,0,40.97064,0,,,53.02551,0,87.60571,0,77.05256,0,95.07726,0,,,52.82779,0,,,70.16092,0,91.91711,0,60.713,0
76561198168946802,Coffeebro,"=IFERROR(E29 + G29 + I29 + K29 + M29 + O29 + Q29 + S29 + U29 + W29 + Y29 + AA29 + AC29 + AE29 + AG29, 0)",48.63351,0,70.06481,0,69.4623,0,43.89902,0,78.25459,0,52.64521,0,84.65172,0,77.99252,0,97.45199,0,90.55388,0,54.24809,0,64.67244,0,76.3243,0,79.07839,0,,
76561198029508562,Cold Deck? ...,"=IFERROR(E30 + G30 + I30 + K30 + M30 + O30 + Q30 + S30 + U30 + W30 + Y30 + AA30 + AC30 + AE30 + AG30, 0)",48.71069,0,76.93453,0,,,45.39093,0,80.72929,0,53.87949,0,83.39633,0,79.8746,0,95.12157,0,93.7591,0,53.47595,0,63.1705,0,71.48669,0,127.0692,0,62.6957,0
